#,Database,gbifID,PBDB collection #,occurrenceID,genus,specificEpithet,verbatimScientificName,Notes,preparations,occurrenceRemarks,institutionCode,collectionCode,catalogNumber,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,continent,countryCode,stateProvince,county,locality,verbatimLocality,formation,Max age (years),Min age (years),Average age (years),Method,Citation for age,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,Citation
382,Neotoma,56079,29463,N/A,Antilocapra,N/A,Antilocapra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.91,-98.1015,N/A,N/A,NORTH_AMERICA,MX,Puebla,N/A,Cueva del Tepeyolo,N/A,N/A,1000,560,780,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
383,Neotoma,56498,29683,N/A,Antilocapra,N/A,Antilocapra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.947,-98.182,N/A,N/A,NORTH_AMERICA,MX,Puebla,N/A,Cueva del Texcal,N/A,N/A,11700,0,5850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,Neotoma,4572,3544,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.616667,-102.25,N/A,N/A,NORTH_AMERICA,US,Colorado,Yuma,Dutton,N/A,N/A,13600,11500,12550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
385,Neotoma,4587,3554,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.866667,-108.116667,N/A,N/A,NORTH_AMERICA,US,Wyoming,Big Horn,Natural Trap Cave,N/A,N/A,110000,15500,62750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
386,Neotoma,4769,3710,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.866667,-108.116667,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,Prospects Shelter [48BH305],N/A,N/A,27000,13500,20250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
387,Neotoma,4806,3747,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.866667,-109.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Boar's Tusk [48SW1373],N/A,N/A,1000,100,550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
388,Neotoma,4961,3890,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.729167,-105.861389,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Porcupine Cave,N/A,N/A,800000,400000,600000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
389,Neotoma,5200,4114,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,-108.75,N/A,N/A,NORTH_AMERICA,US,Colorado,N/A,5MT3,N/A,N/A,1000,900,950,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
391,Neotoma,6068,4867,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.25,-106.5,N/A,N/A,NORTH_AMERICA,US,New Mexico,Doña Ana ,Conkling Cavern [Beasley Cave] [LACM 10091],N/A,N/A,25000,10000,17500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
393,Neotoma,6114,4912,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.941944,-119.782778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dudley Ridge [Witt Site] [UCMPV75041],N/A,N/A,65000,11500,38250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
394,Neotoma,6292,5025,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.883333,-112.716667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Rainbow Beach [ISUM 72003],N/A,N/A,33000,21000,27000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
395,Neotoma,7690,6335,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.410278,-90.447778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Galena Lead Region,N/A,N/A,110000,11500,60750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
396,Neotoma,22428,14330,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.2025,-104.485556,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Big Manhole Cave [BLM-NM-060-001],N/A,N/A,29000,11800,20400,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
397,Neotoma,22450,14342,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.25,-110.633333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Cactus Flower Local Fauna [EbOp-16],N/A,N/A,4200,3600,3900,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
398,Neotoma,22499,14369,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.083333,-111.583333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,DgOv-93,N/A,N/A,2820,2530,2675,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
399,Neotoma,24536,15927,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.583333,-111.416667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,DjOu-5,N/A,N/A,1750,1610,1680,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
400,Neotoma,24987,16162,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.229722,-118.329722,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Willow Creek Canyon [26PPe16],N/A,N/A,150000,14000,82000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
401,Neotoma,25062,16204,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.22,-106.593056,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Tipperary Creek [FbNp-1],N/A,N/A,1196,1196,1196,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
402,Neotoma,25175,16253,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.802778,-101.331389,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Stendall [DkMh-1],N/A,N/A,1035,895,965,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
403,Neotoma,25330,16325,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.433333,-99.916667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,The McIntosh Site [25BW15],N/A,N/A,710,300,505,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
404,Neotoma,38250,22126,N/A,Antilocapra,sp.,Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.929722,-114.451389,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pioche,N/A,N/A,150000,14000,82000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
405,Neotoma,6294,5027,N/A,Antilocapra cf. A. americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.6037,-112.3914,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Wasden Site [Owl Cave],N/A,N/A,14000,10000,12000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
406,Neotoma,25758,16470,N/A,Antilocapra cf. A. americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.077222,-110.819444,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Galt Island Bluff [EaOq-VP],N/A,N/A,44950,40410,42680,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
407,Neotoma,4559,3531,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.866667,-105.75,N/A,N/A,NORTH_AMERICA,US,Colorado,Larimer,Chimney Rock Animal Trap,N/A,N/A,11980,1450,6715,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
408,Neotoma,4560,3532,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.866667,-105,N/A,N/A,NORTH_AMERICA,US,Colorado,Weld,Lindenmeier [5LR13],N/A,N/A,11200,8400,9800,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
409,Neotoma,4565,3537,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.716667,-101.55,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spring Canyon [A-41],N/A,N/A,550,550,550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
410,Neotoma,4566,3538,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.7,-101.566667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Roper [41HC6(A62)],N/A,N/A,650,580,615,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
411,Neotoma,4567,3539,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.566667,-101.666667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Alibates,N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
412,Neotoma,4568,3540,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,-101.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Canyon City Club Cave [A251],N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
413,Neotoma,4570,3542,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.5,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Deadman's Shelter [41SW23],N/A,N/A,1830,1740,1785,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
414,Neotoma,4571,3543,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.620417,-101.892083,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lubbock Lake [41LU1],N/A,N/A,9990,160,5075,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
417,Neotoma,4581,3548,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.366667,-112.616667,N/A,N/A,NORTH_AMERICA,US,Idaho,Bingham,Moonshiner,N/A,N/A,10000,8000,9000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
418,Neotoma,4582,3549,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.281389,-112.915278,N/A,N/A,NORTH_AMERICA,US,Idaho,Lemhi,Jaguar Cave [Cave No. 2],N/A,N/A,35000,7000,21000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
419,Neotoma,4583,3550,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.616667,-116.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dry Creek Rockshelter [10-AA-68],N/A,N/A,3270,1950,2610,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
420,Neotoma,4584,3551,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.75,-105.366667,N/A,N/A,NORTH_AMERICA,US,Wyoming,Albany,Bell Cave [48AB304],N/A,N/A,13500,10000,11750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
421,Neotoma,4585,3552,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.616667,-105.616667,N/A,N/A,NORTH_AMERICA,US,Wyoming,Converse,Little Box Elder Cave [48CO287],N/A,N/A,24000,9250,16625,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
422,Neotoma,4602,3567,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.766667,-114.216667,N/A,N/A,NORTH_AMERICA,US,Idaho,Jerome,Wilson Butte Cave [10Je6],N/A,N/A,6840,940,3890,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
423,Neotoma,4627,3585,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.366667,-112.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Middle Butte Cave,N/A,N/A,5175,1,2588,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
424,Neotoma,4628,3586,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.483334,-114.033333,N/A,N/A,NORTH_AMERICA,US,Utah,Millard,Crystal Ball Cave,N/A,N/A,23000,10000,16500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
425,Neotoma,4684,3644,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.333333,-114.083333,N/A,N/A,NORTH_AMERICA,US,Nevada,White Pine,Smith Creek Cave [26WP46],N/A,N/A,35000,1,17500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
426,Neotoma,4687,3647,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.366667,-118.616667,N/A,N/A,NORTH_AMERICA,US,Nevada,Churchill,Hidden Cave [NV-Ch-16 (Berkeley)] [26CH16],N/A,N/A,24000,1500,12750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
427,Neotoma,4700,3654,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.866667,-106,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ceremonial Cave,N/A,N/A,35000,2000,18500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
428,Neotoma,4711,3665,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.25,-97,N/A,N/A,NORTH_AMERICA,US,Texas,Denton,Clear Creek Local Fauna [Trietsch Pit],N/A,N/A,35000,25000,30000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
429,Neotoma,4716,3670,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.866667,-104.75,N/A,N/A,NORTH_AMERICA,US,Texas,Culberson,Williams Cave,N/A,N/A,35000,1,17500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
430,Neotoma,4738,3681,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.033611,-97.420278,N/A,N/A,NORTH_AMERICA,US,Tennessee,Hawkins,Kyle [41HI1],N/A,N/A,979,659,819,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
431,Neotoma,4750,3692,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.983333,-101.1,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Baker Cave [41VV213],N/A,N/A,10000,350,5175,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
432,Neotoma,4752,3694,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.891389,-101.44,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hinds Cave [41VV456],N/A,N/A,3680,2280,2980,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
433,Neotoma,4756,3697,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.866667,-106,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hueco Tanks State Hist. Pk. [41EP2],N/A,N/A,775,650,712.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
434,Neotoma,4757,3698,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.116667,-107.283333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Daughtery Cave [48WA302],N/A,N/A,1500,100,800,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
435,Neotoma,4758,3699,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.366667,-104.066667,N/A,N/A,NORTH_AMERICA,US,Wyoming,Niobrara,Sheaman [48NO211],N/A,N/A,10690,10030,10360,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
436,Neotoma,4759,3700,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.616667,-106.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Butler-Rissler [48NA1000],N/A,N/A,1800,1660,1730,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
437,Neotoma,4761,3702,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.75,-105.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Glenrock Buffalo Jump [48CO304],N/A,N/A,280,210,245,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
438,Neotoma,4764,3705,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.366667,-104.066667,N/A,N/A,NORTH_AMERICA,US,Wyoming,Niobrara,Agate Basin [48NO201],N/A,N/A,11840,10220,11030,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
439,Neotoma,4765,3706,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.75,-106.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Casper [48NA302],N/A,N/A,10060,9830,9945,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
440,Neotoma,4768,3709,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.866667,-108.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Eagle Shelter,N/A,N/A,8500,8500,8500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
442,Neotoma,4773,3714,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.5,-104.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Vore [48CK302],N/A,N/A,370,200,285,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
443,Neotoma,4775,3716,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.566667,-105.516667,N/A,N/A,NORTH_AMERICA,US,Wyoming,Albany,Horned Owl Cave [48AB305],N/A,N/A,35000,10000,22500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
444,Neotoma,4778,3719,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.616667,-106.583333,N/A,N/A,NORTH_AMERICA,US,Wyoming,Sheridan,Bentzen Kaufman Cave [48SH301],N/A,N/A,11000,6970,8985,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
445,Neotoma,4779,3720,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.25,-104.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hawken [48CK303],N/A,N/A,6470,6270,6370,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
446,Neotoma,4782,3723,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.5,-110,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Wardell Buffalo Trap [48SU301],N/A,N/A,1170,990,1080,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
447,Neotoma,4783,3724,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,-104.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Rock Ranch Trading Post [48GO123],N/A,N/A,500,1,250.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
448,Neotoma,4791,3732,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.616667,-109.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dead Indian Creek [48PA551],N/A,N/A,4430,3800,4115,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
449,Neotoma,4793,3734,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.75,-110,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48LN74,N/A,N/A,8000,1000,4500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
450,Neotoma,4795,3736,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.616667,-110.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Skull Point [48LN317],N/A,N/A,1000,100,550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
451,Neotoma,4798,3739,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.75,-107.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,John Gale [48CR303],N/A,N/A,2750,340,1545,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
452,Neotoma,4807,3748,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,-105.25,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48CA1391,N/A,N/A,2840,2760,2800,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
453,Neotoma,4808,3749,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.25,-104.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,McKean [48CK7],N/A,N/A,5000,3000,4000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
454,Neotoma,4810,3751,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.016667,-110.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bessie Bottom Site [48UT1186],N/A,N/A,910,910,910,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
455,Neotoma,4816,3757,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.5,-109,N/A,N/A,NORTH_AMERICA,US,Wyoming,Park,Horner [48PA29],N/A,N/A,10060,6876,8468,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
456,Neotoma,4817,3758,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.75,-106.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,River Bend [48NA202],N/A,N/A,250,200,225,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
457,Neotoma,4818,3759,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,-108.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Buffalo Hump Site [48SW5057],N/A,N/A,1800,1,900.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
458,Neotoma,4821,3762,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.366667,-110.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Austin Wash [48UT390],N/A,N/A,1160,1160,1160,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
461,Neotoma,4823,3764,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5,-110,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48UT779,N/A,N/A,1130,1,565.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
462,Neotoma,4824,3765,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5,-110.116667,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48UT370,N/A,N/A,6480,4290,5385,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
463,Neotoma,4826,3767,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.266667,-106.766667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Sister's Hill [48JO314],N/A,N/A,9650,9650,9650,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
464,Neotoma,4829,3770,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.116667,-109.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Maxon Ranch Site [48SW2590],N/A,N/A,4860,1140,3000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
465,Neotoma,4832,3773,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.25,-106,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48AB301,N/A,N/A,450,250,350,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
466,Neotoma,4833,3774,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.616667,-109.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bugas - Holding Site [48PK563],N/A,N/A,1450,250,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
