#,Database,gbifID,PBDB collection #,occurrenceID,genus,specificEpithet,verbatimScientificName,Notes,preparations,occurrenceRemarks,institutionCode,collectionCode,catalogNumber,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,continent,countryCode,stateProvince,county,locality,verbatimLocality,formation,Max age (years),Min age (years),Average age (years),Method,Citation for age,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,Citation
213,GBIF,1698129090,N/A,pbdb:occ:199833,Antilocapra,cf. A. americana,Antilocapra cf. A. americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.200001,-106.699997,N/A,0.1,NORTH_AMERICA,CA,Saskatchewan,N/A,Riddell,CA | Saskatchewan,Floral,N/A,N/A,15430,radiometric,"T. SkwaraWoolf. 1981. Biostratigraphy and paleoecology of Pleistocene deposits (Riddell Member, Floral Formation, Late Rancholabrean), Saskatoon, Canada. Canadian Journal of Earth Sciences 18",N/A,N/A,Late Pleistocene,N/A,N/A,N/A,"T. SkwaraWoolf. 1981. Biostratigraphy and paleoecology of Pleistocene deposits (Riddell Member, Floral Formation, Late Rancholabrean), Saskatoon, Canada. Canadian Journal of Earth Sciences 18"
218,GBIF,1698128323,N/A,pbdb:occ:198739,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,PBDB,20503,N/A,N/A,43.799999,-103.099998,N/A,0.1,NORTH_AMERICA,US,South Dakota,Custer,Salamander Cave,US | South Dakota | Custer,N/A,N/A,N/A,"252,000",radiometric,"J. I. Mead, C. Manganaro, C. A. Repenning and L. D. Agenbroad. 1996. Early Rancholabrean mammals from Salamander Cave, Black Hills, South Dakota. In K. M. Stewart, K. L. Seymour (eds.), Palaeoecology and palaeoenvironments of late Cenozoic mammals: Tributes to the career of C.S. (Rufus) Churcher 458-482",N/A,N/A,Irvingtonian,N/A,N/A,N/A,"J. I. Mead, C. Manganaro, C. A. Repenning and L. D. Agenbroad. 1996. Early Rancholabrean mammals from Salamander Cave, Black Hills, South Dakota. In K. M. Stewart, K. L. Seymour (eds.), Palaeoecology and palaeoenvironments of late Cenozoic mammals: Tributes to the career of C.S. (Rufus) Churcher 458-482"
219,GBIF,1698127954,N/A,pbdb:occ:198492,Antilocapra,N/A,Antilocapra Ord 1818,N/A,N/A,N/A,PBDB,20477,N/A,N/A,39.299999,-105.699997,N/A,0.1,NORTH_AMERICA,US,Colorado,Park,The Pit,US | Colorado | Park,N/A,N/A,N/A,"400,000",biostratigraphic,"A. D. Barnosky and D. L. Rasmussen. 1988. Middle Pleistocene arvicoline rodents and environmental change at 2900-meters elevation, Porcupine Cave, South Park, Colorado. Annals of Carnegie Museum 57(12):267-292",N/A,N/A,Irvingtonian,N/A,N/A,N/A,"A. D. Barnosky and D. L. Rasmussen. 1988. Middle Pleistocene arvicoline rodents and environmental change at 2900-meters elevation, Porcupine Cave, South Park, Colorado. Annals of Carnegie Museum 57(12):267-292"
220,GBIF,1698126469,N/A,pbdb:occ:197341,Antilocapra,N/A,Antilocapra Ord 1818,N/A,N/A,N/A,PBDB,20323,N/A,N/A,33.599998,-117.800003,N/A,0.1,NORTH_AMERICA,US,California,Orange,Emery Borrow Pit,US | California | Orange,La Habra,400000,40000,220000,biostratigraphic/radiometric,"Gilbert, D.M. 1998, Habitats in the Los Angeles Basin in the Late Pleistocene, with emphasis on the fossil reptiles and amphibians from the La Habra Formation, Orange County, California, California State University, Fullerton.",N/A,N/A,Irvingtonian,Rancholabrean,N/A,N/A,"G. T. Jefferson. 1991. A catalogue of late Quaternary vertebrates from California. Part two, mammals. Natural History Museum of Los Angeles County Technical Report 7:1-129"
231,GBIF,1317192910,N/A,http://n2t.net/ark:/65665/3fc39528c-f48a-4ca0-ba7d-a9e439230a70,Antilocapra,N/A,Antilocapra sp,Coordinates added by KM; add to pbdb?,N/A,N/A,USNM,PAL,USNM PAL214638,N/A,39.716667,-105.041667,N/A,N/A,NORTH_AMERICA,US,Colorado,Denver County,Weir Gulch,N/A,N/A,"240,000","14,000","127,000",biostratigraphic,"Hunt, C.B., 1954. Pleistocene and Recent deposits in the Denver area, Colorado (No. 996-C). U.S.Geol.Survey Bull. ",N/A,N/A,Wisconsin,N/A,N/A,N/A,"Hunt, C.B., 1954. Pleistocene and Recent deposits in the Denver area, Colorado (No. 996-C). U.S.Geol.Survey Bull. "
256,GBIF,1234599259,N/A,URI:catalog:ROM:Palaeobiology-Vertebrate Fossils:71701,Antilocapra,N/A,Antilocapra ?,N/A,Bone; manus or pes; phalanx two; distal part,N/A,ROM,Vertebrate Palaeontology,71701,N/A,50.036111,-110.733333,N/A,N/A,NORTH_AMERICA,CA,Alberta,N/A,"Medicine Hat, Surprise Bluff, Reservoir Gully; S 1/2; 34; SW 1/4; 35-6-12","Medicine Hat, Surprise Bluff, Reservoir Gully",N/A,"42,970","42,290",42630,radiometric,"Reynolds, A.R., Seymour, K.L. and Evans, D.C., 2019. Late Pleistocene records of felids from Medicine Hat, Alberta, including the first Canadian record of the sabre-toothed cat Smilodon fatalis. Canadian Journal of Earth Sciences, 56(10), pp.1052-1060.",Pleistocene,N/A,N/A,N/A,N/A,N/A,N/A
279,PBDB,193569,19724,N/A,Antilocapra,N/A,cf. Antilocapra sp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.900002,-117,N/A,1,NORTH_AMERICA,US,California,Riverside,Nutmeg (SBCM 05.006.078),N/A,"""unnamed sandstone""","3,500,000","750,000",2125000,biostratigraphic,"Pajak III, A.F., Scott, E. and Bell, C.J., 1996. A review of the biostratigraphy of Pliocene and Pleistocene sediments in the Elsinore Fault Zone, Riverside County, California. The uses of vertebrate fossils in biostratigraphic correlation. PaleoBios, 17(2-4), pp.28-49.",N/A,N/A,Blancan,N/A,N/A,N/A,"Pajak III, A.F., Scott, E. and Bell, C.J., 1996. A review of the biostratigraphy of Pliocene and Pleistocene sediments in the Elsinore Fault Zone, Riverside County, California. The uses of vertebrate fossils in biostratigraphic correlation. PaleoBios, 17(2-4), pp.28-49."
312,KM,N/A,N/A,N/A,Antilocapra,N/A,Antilocapra,add to PBDB?,N/A,N/A,N/A,N/A,N/A,N/A,35.416667,-115.5,N/A,N/A,NORTH_AMERICA,US,N/A,N/A,Kokoweef Cave,N/A,N/A,N/A,N/A,"9,850",radiometric,"Scott, E., & Cox, S. M. (2008). Late Pleistocene distribution of Bison (Mammalia; Artiodactyla) in the Mojave desert of southern California and Nevada. Geology and vertebrate paleontology of western and southern North America: contributions in honor of David P. Whistler. Edited by X. Wang and LG Barnes. Natural History Museum of Los Angeles County Science Series, 41, 359-382.",N/A,N/A,N/A,N/A,N/A,N/A,"Scott, E., & Cox, S. M. (2008). Late Pleistocene distribution of Bison (Mammalia; Artiodactyla) in the Mojave desert of southern California and Nevada. Geology and vertebrate paleontology of western and southern North America: contributions in honor of David P. Whistler. Edited by X. Wang and LG Barnes. Natural History Museum of Los Angeles County Science Series, 41, 359-382."
318,KM,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,"add to PBDB?; coordinates based on map, input by KM",N/A,N/A,N/A,N/A,N/A,N/A,47.083333,-112.3,N/A,N/A,NORTH_AMERICA,US,Montana,Lewis and Clark,Blacktail Cave,N/A,N/A,"37,000","10,000",23500,radiometric,"Hill, C.L., 2006. Stratigraphic and geochronologic contexts of mammoth (Mammuthus) and other Pleistocene fauna, Upper Missouri Basin (northern Great Plains and Rocky Mountains), USA. Quaternary International, 142, pp.87-106.",N/A,N/A,N/A,N/A,N/A,N/A,"Hill, C.L., 2006. Stratigraphic and geochronologic contexts of mammoth (Mammuthus) and other Pleistocene fauna, Upper Missouri Basin (northern Great Plains and Rocky Mountains), USA. Quaternary International, 142, pp.87-106."
319,KM,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,"add to PBDB?; coordinates based on map, input by KM",N/A,N/A,N/A,N/A,N/A,N/A,44.033333,-107.933333,N/A,N/A,NORTH_AMERICA,US,Wyoming,Washakie,Colby,N/A,N/A,"11,200","10,864",11032,radiometric,"Hill, C.L., 2006. Stratigraphic and geochronologic contexts of mammoth (Mammuthus) and other Pleistocene fauna, Upper Missouri Basin (northern Great Plains and Rocky Mountains), USA. Quaternary International, 142, pp.87-106.",N/A,N/A,N/A,N/A,N/A,N/A,"Hill, C.L., 2006. Stratigraphic and geochronologic contexts of mammoth (Mammuthus) and other Pleistocene fauna, Upper Missouri Basin (northern Great Plains and Rocky Mountains), USA. Quaternary International, 142, pp.87-106."
321,RW,N/A,N/A,N/A,Antilocapra cf.,americana,Antilocapra cf. americana,add to PBDB? Coordinates added by KM,cubonavicular GLCA 22318,N/A,GLCA (NPS),N/A,N/A,N/A,37.651,-111.242,N/A,N/A,NORTH_AMERICA,US,Arizona,Coconino,Marmot End Alcove,N/A,N/A,15615,"12,302",13958.5,radiometric,"Kropf, M. 2005. The extinct shrub-ox (Euceratherium collinum) and its late Quaternary environment on the Colorado Plateau. M.S. thesis, Northern Arizona University, Flagstaff.",N/A,N/A,N/A,N/A,N/A,N/A,"Kropf, M. 2005. The extinct shrub-ox (Euceratherium collinum) and its late Quaternary environment on the Colorado Plateau. M.S. thesis, Northern Arizona University, Flagstaff."
326,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,Coordinates added by KM,N/A,N/A,N/A,N/A,N/A,N/A,33.513889,-117.029167,N/A,N/A,NORTH_AMERICA,US,California,Riverside,Diamond Valley Lake ,N/A,N/A,"13,500","12,500",13000,radiometric,"Springer, K., E. Scott, C. Sagebiel, and L. K. Murray. 2009. The Diamond Valley Lake local fauna: Late Pleistocene vertebrates from inland southern California. Pp. 217-235, in Papers on geology, vertebrate paleontology, and biostratigraphy in honor of Michael O. Woodburne (L. G. Albright, III, ed.). Museum of Northern Arizona Bulletin 65, Flagstaff, Arizona.",N/A,N/A,N/A,N/A,N/A,N/A,"Springer, K., E. Scott, C. Sagebiel, and L. K. Murray. 2009. The Diamond Valley Lake local fauna: Late Pleistocene vertebrates from inland southern California. Pp. 217-235, in Papers on geology, vertebrate paleontology, and biostratigraphy in honor of Michael O. Woodburne (L. G. Albright, III, ed.). Museum of Northern Arizona Bulletin 65, Flagstaff, Arizona."
328,RW,N/A,N/A,N/A,Antilocapra ,sp,N/A,Coordinates added by KM; add to pbdb?,N/A,N/A,SBCM,N/A,N/A,1.137.3-9,35.008333,-117.55,N/A,N/A,NORTH_AMERICA,US,California,San Bernardino,Kramer,N/A,N/A,"240,000","14,000","127,000",biostratigraphic,"Jefferson, G. T. (1991). A catalogue of late Quaternary vertebrates from California: Part Two, Mammals. Technical Reports, Natural History Museum of Los Angeles County, 7.",N/A,N/A,Rancholabrean,N/A,N/A,N/A,"Jefferson, G. T. (1991). A catalogue of late Quaternary vertebrates from California: Part Two, Mammals. Technical Reports, Natural History Museum of Los Angeles County, 7."
334,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,add to PBDB? Coordinates added by KM,N/A,N/A,N/A,N/A,N/A,N/A,43.591667,-112.377778,N/A,N/A,NORTH_AMERICA,US,Idaho,Bonneville,Owl Cave (Wasden),N/A,N/A,"12,850","9,735",11292.5,radiometric,"Miller, S. J. (1989). Characteristics of Mammoth Bone Reduction at Owl Cave, The Wasden Site, Idaho (R. Bonnichsen & M. H. Sorg, Eds.; pp. 381–393). Center for the Study of the First Americans, Institute for Quaternary Studies, University of Maine.",N/A,N/A,N/A,N/A,N/A,N/A,"Miller, Susanne J., and Wakeﬁeld Dort Jr. 1978 Early Man at Owl Cave: Current Investigations at. the Wasden Site, Eastern Snake River Plain, Idaho."
347,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.417804,-114.900945,N/A,N/A,NORTH_AMERICA,US,Nevada,White Pine,Council Hall Cave,N/A,N/A,"23,900","13,040",18470,radiometric,"Chorn, J., Frase, B.A. and Frailey, C.D., 1988. Late Pleistocene pronghorn, Antilocapra americana, from natural trap cave, Wyoming.",N/A,N/A,N/A,N/A,N/A,N/A,"Chorn, J., Frase, B.A. and Frailey, C.D., 1988. Late Pleistocene pronghorn, Antilocapra americana, from natural trap cave, Wyoming."
353,RW,N/A,N/A,N/A,Antilocapra ?,sp.,N/A,Coordinates added by KM,N/A,N/A,UTEP,N/A,N/A,119,32.333333,-104.333333,N/A,N/A,NORTH_AMERICA,US,New Mexico,Eddy,Algerita Blossom Cave,N/A,N/A,"240,000","14,000","127,000",biostratigraphic,https://www.utep.edu/leb/pleistnm/sites/algeritablossomcave.htm,N/A,N/A,Late Wisconsin,N/A,N/A,N/A,"Harris, A.H., 1993. Quarternary vertebrates of New Mexico. Bulletin-New Mexico Museum of Natural History and Science, pp.179-198."
354,RW,N/A,N/A,N/A,Antilocapra cf.,sp.,N/A,Coordinates added by KM; add to pbdb?,N/A,N/A,N/A,N/A,N/A,N/A,32.133333,-104.533333,N/A,N/A,NORTH_AMERICA,US,New Mexico,Eddy,Muskox Cave,N/A,N/A,"25,500","18,140",21820,radiometric,"Logan, L. E. (1981). The Mammalian Fossils of Muskox Cave, Eddy County, New Mexico. In B. F. Beck (Ed.), Proceedings of the Eighth International Congress of Speleology (pp. 159–160).",N/A,N/A,N/A,N/A,N/A,N/A,"Harris, A.H., 1993. Quarternary vertebrates of New Mexico. Bulletin-New Mexico Museum of Natural History and Science, pp.179-198."
355,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,add to PBDB? Coordinates added by KM,N/A,N/A,N/A,N/A,N/A, LA 5689,31.474389,-108.433833,N/A,N/A,NORTH_AMERICA,US,New Mexico,Hidalgo,U-bar Cave,N/A,N/A,"35,890","26,150",31020,radiometric,"Cave, D., 1987. Reconstruction of mid Wisconsin environments in southern New Mexico. National Geographic Research, 3(2), pp.142-151.",N/A,N/A,N/A,N/A,N/A,N/A,"Harris, A.H., 1993. Quarternary vertebrates of New Mexico. Bulletin-New Mexico Museum of Natural History and Science, pp.179-198."
356,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,add to PBDB? Coordinates added by KM,N/A,N/A,N/A,N/A,N/A,N/A,32.416667,-105.916667,N/A,N/A,NORTH_AMERICA,US,New Mexico,Otero,Pendejo Cave,N/A,N/A,"55,000",350,27675,radiometric,"Taylor, R. E., G. E. Cunnar, J. S. Schneider, C. A. Prior, D. Kirner, R. Burky, and B. A. Morrison. 2003. Radiocarbon chronology of Pendejo Cave. Pages 173-189 in Pendejo Cave (R. S. MacNeish and J. G. Libby, editors). University of New Mexico Press, Albuquerque.",N/A,N/A,N/A,N/A,N/A,N/A,"Harris, A.H., 1993. Quarternary vertebrates of New Mexico. Bulletin-New Mexico Museum of Natural History and Science, pp.179-198."
357,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,Coordinates added by KM; add to pbdb?,N/A,N/A,N/A,N/A,N/A,N/A,34.283333,-103.333333,N/A,N/A,NORTH_AMERICA,US,New Mexico,Roosevelt,Blackwater Draw Loc. 1,N/A,N/A,"13,000","11,000",12000,radiometric,"Morgan, G.S. and Lucas, S.G., 2005. Pleistocene vertebrate faunas in New Mexico from alluvial, fluvial, and lacustrine deposits. Bulletin of the New Mexico Museum of Natural History and Science, 28, pp.185-248.",N/A,N/A,N/A,N/A,N/A,N/A,Harris 1993
364,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,add to PBDB? Coordinates added by KM,N/A,N/A,N/A,N/A,N/A,N/A,31.216667,-105,N/A,N/A,NORTH_AMERICA,US,Texas,Hudspeth,Sierra Diablo Cave,N/A,N/A,"34,970","32,770",33870,radiometric,"Harris, A.H., 2016. Pleistocene/Holocene Faunas from the Trans-Pecos. Special Publications, p.157.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
365,RW,N/A,N/A,N/A,Antilocapra?,sp.,N/A,N/A,partial Rp4 TNN 40682-389,N/A,TMM,N/A,N/A,N/A,30.35,-97.75,N/A,N/A,NORTH_AMERICA,US,Texas,Travis,Fyllan Cave,N/A,N/A,N/A,N/A,"830,000",biostratigraphic,"Winkler, A. J., & Gose, W. (2003). Mammalian Fauna and Paleomagnetics of the Middle Irvingtonian (Early Pleistocene) Fyllan Cave and Kitchen Door Localities Travis County, Texas. In B. W. Schubert, J. I. Mead, & R. W. Graham (Eds.), Ice Age cave faunas of North America (pp. 215–261). Denver Museum of Nature & Science Press.",N/A,N/A,N/A,N/A,N/A,N/A,"Winkler, A. J., & Gose, W. (2003). Mammalian Fauna and Paleomagnetics of the Middle Irvingtonian (Early Pleistocene) Fyllan Cave and Kitchen Door Localities Travis County, Texas. In B. W. Schubert, J. I. Mead, & R. W. Graham (Eds.), Ice Age cave faunas of North America (pp. 215–261). Denver Museum of Nature & Science Press."
367,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,add to PBDB? Coordinates added by KM,N/A,N/A,N/A,N/A,N/A,N/A,41,-113,N/A,N/A,NORTH_AMERICA,US,Utah,N/A,Homestead Cave,N/A,N/A,"11,300","8,300",9800,radiometric,"Grayson, D.K., 2000. The Homestead cave mammals. Late Quaternary Paleoecology in the Bonneville Basin, Bulletin, 130, pp.67-89.",N/A,N/A,N/A,N/A,N/A,N/A,"Grayson, D.K., 2000. The Homestead cave mammals. Late Quaternary Paleoecology in the Bonneville Basin, Bulletin, 130, pp.67-89."
369,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,Coordinates added by KM; add to pbdb?,N/A,N/A,N/A,N/A,N/A,N/A,46.616667,-118.202778,N/A,N/A,NORTH_AMERICA,US,Washington,Franklin,Marmes Rockshelter,N/A,N/A,"10,810",660,5735,radiometric,"Sheppard, J.C., Wigand, P.E., Gustafson, C.E. and Rubin, M., 1987. A reevaluation of the Marmes Rockshelter radiocarbon chronology. American Antiquity, 52(1), pp.118-125.",N/A,N/A,N/A,N/A,N/A,N/A,"Gustafson, C.E., 1972. Faunal remains from the Marmes Rockshelter and related archaeological sites in the Columbia Basin. Washington State University."
374,RW,N/A,N/A,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.861389,-106.342778,N/A,N/A,NORTH_AMERICA,US,Wyoming,Natrona,Casper,N/A,N/A,"10,500","7,500",9000,N/A,"Walker, D. N. (2000). Pleistocene and. Holocene Records of Antilocapra Americana : A Review of the FAUNMAP Data. Plains Anthropologist, 45(174), 13–28. https://doi.org/10.1080/2052546.2000.11932020",N/A,N/A,N/A,N/A,N/A,N/A,"Frison, G. C. (1974) The Casper site : a Hell Gap bison kill on the high plains / edited by George C. Frison. New York: Academic Press."
381,Neotoma,15227,10120,N/A,Antilocapra,N/A,Antilocapra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.513889,-117.029167,N/A,N/A,NORTH_AMERICA,US,California,N/A,Domenigoni Valley,N/A,N/A,23257,23257,23257,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
